,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
2491,high,no,Non-Rural,1991,Male,nO,14_25,I have heard just a little about it,I would probably vote for it,None of the above,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,,Spain,ES
2492,medium,yes,city,1993,FeMale,nO,14_25,I understand it fully,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working,data warehouse specialist,Spain,ES
2493,high,no,urban,1992,male,nO,14_25,I know something about it,I would vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,,Spain,ES
2494,,yes,countryside,43 years old,male,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance,database administration manager,Spain,ES
2495,medium,yes,urban,36 years old,female,yES,26_39,I understand it fully,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,database engineer,Spain,ES
2496,high,no,urban,1993,Male,NO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ work less,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,,Spain,ES
2497,medium,yes,city,44 years old,Fem,YES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,None of the above,database design analyst,Spain,ES
2498,low,no,Non-Rural,43 years old,Fem,YES,40_65,I have heard just a little about it,I would vote for it,‰Û_ do more volunteering work,It creates more equality of opportunity,Only the people who need it most should get something from the state,,Spain,ES
2499,medium,yes,Non-Rural,53 years old,female,YES,40_65,I have never heard of it,I would not vote,‰Û_ look for a different job,None of the above,None of the above,data management associate,Spain,ES
2500,high,no,Non-Rural,45 years old,FeMale,yES,40_65,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,None of the above,None of the above,,Spain,ES
2501,high,yes,urban,1987,male,YES,26_39,I know something about it,I would vote for it,‰Û_ spend more time with my family,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It increases dependence on the state | Only the people who need it most should get something from the state,field traffic data technician,Spain,ES
